stress_module,mito_module,IFN_module,Ig_module,stress_marsh,stress_vanhove,stress_brink,stress_denisenko
,ETFDH,,IGLV2-33,,,,
,ETHE1,,IGLV2-34,,,,
,EXOG,,IGLV2-5,,,,
,FABP1,,IGLV2-8,,,,
,FAHD1,,IGLV3-1,,,,
,FAHD2A,,IGLV3-10,,,,
,FAM136A,,IGLV3-12,,,,
,FAM162A,,IGLV3-13,,,,
,FAM185A,,IGLV3-15,,,,
,FAM195A,,IGLV3-16,,,,
,FAM210A,,IGLV3-17,,,,
,FAM210B,,IGLV3-19,,,,
,FAM213A,,IGLV3-2,,,,
,FARS2,,IGLV3-21,,,,
,FASN,,IGLV3-22,,,,
,FASTK,,IGLV3-24,,,,
,FASTKD1,,IGLV3-25,,,,
,FASTKD2,,IGLV3-26,,,,
,FASTKD3,,IGLV3-27,,,,
,FASTKD5,,IGLV3-29,,,,
,FBXL4,,IGLV3-30,,,,
,FDPS,,IGLV3-31,,,,
,FDX1,,IGLV3-32,,,,
,FDX1L,,IGLV3-4,,,,
,FDXR,,IGLV3-6,,,,
,FECH,,IGLV3-7,,,,
,FH,,IGLV3-9,,,,
,FHIT,,IGLV4-3,,,,
,FIS1,,IGLV4-60,,,,
,FKBP10,,IGLV4-69,,,,
,FKBP8,,IGLV5-37,,,,
,FLAD1,,IGLV5-45,,,,
,FOXRED1,,IGLV5-48,,,,
,FPGS,,IGLV5-52,,,,
,FTH1,,IGLV6-57,,,,
,FTMT,,IGLV7-35,,,,
,FTSJ2,,IGLV7-43,,,,
,FUNDC1,,IGLV7-46,,,,
,FUNDC2,,IGLV8-61,,,,
,FXN,,IGLV8OR8-1,,,,
,GADD45GIP1,,IGLV9-49,,,,
,GAPDH,,IGLVI-20,,,,
,GARS,,IGLVI-38,,,,
,GATC,,IGLVI-42,,,,
,GATM,,IGLVI-56,,,,
,GBAS,,IGLVI-63,,,,
,GCAT,,IGLVI-68,,,,
,GCDH,,IGLVI-70,,,,
,GCSH,,IGLVIV-53,,,,
,GDAP1,,IGLVIV-59,,,,
,GFER,,IGLVIV-64,,,,
,GFM1,,IGLVIV-65,,,,
,GFM2,,IGLVIV-66-1,,,,
,GHITM,,IGLVIVOR22-1,,,,
,GK,,IGLVIVOR22-2,,,,
,GLDC,,IGLVV-58,,,,
,GLOD4,,IGLVV-66,,,,
,GLRX2,,IGLVVI-22-1,,,,
,GLRX5,,IGLVVI-25-1,,,,
,GLS,,IGLVVII-41-1,,,,
,GLS2,,IGSF1,,,,
,GLUD1,,IGSF10,,,,
,GLYAT,,IGSF11,,,,
,GLYCTK,,IGSF11-AS1,,,,
,GNG5,,IGSF21,,,,
,GOLPH3,,IGSF22,,,,
,GOT2,,IGSF23,,,,
,GPAM,,IGSF3,,,,
,GPD2,,IGSF5,,,,
,GPI,,IGSF6,,,,
,GPT2,,IGSF8,,,,
,GPX1,,IGSF9,,,,
,GPX4,,IGSF9B,,,,
,GRHPR,,,,,,
,GRPEL1,,,,,,
,GRPEL2,,,,,,
,GRSF1,,,,,,
,GSR,,,,,,
,GSTK1,,,,,,
,GSTO1,,,,,,
,GSTZ1,,,,,,
,GTPBP10,,,,,,
,GTPBP3,,,,,,
,GTPBP6,,,,,,
,GUF1,,,,,,
,GUK1,,,,,,
,HADH,,,,,,
,HADHA,,,,,,
,HADHB,,,,,,
,HAGH,,,,,,
,HAO2,,,,,,
,HARS2,,,,,,
,HCCS,,,,,,
,HDHD3,,,,,,
,HEBP1,,,,,,
,HEMK1,,,,,,
,HIBADH,,,,,,
,HIBCH,,,,,,
,HIGD1A,,,,,,
,HIGD2A,,,,,,
,HINT1,,,,,,
,HINT2,,,,,,
,HINT3,,,,,,
,HK1,,,,,,
,HK2,,,,,,
,HMBS,,,,,,
,HMGCL,,,,,,
,HMGCS2,,,,,,
,HOGA1,,,,,,
,HRSP12,,,,,,
,HSCB,,,,,,
,HSD17B10,,,,,,
,HSD17B4,,,,,,
,HSD17B8,,,,,,
,HSDL1,,,,,,
,HSDL2,,,,,,
,HSPA9,,,,,,
,HSPB7,,,,,,
,HSPD1,,,,,,
,HSPE1,,,,,,
,HTATIP2,,,,,,
,HTRA2,,,,,,
,IARS2,,,,,,
,IBA57,,,,,,
,ICT1,,,,,,
,IDE,,,,,,
,IDH1,,,,,,
,IDH2,,,,,,
,IDH3A,,,,,,
,IDH3B,,,,,,
,IDH3G,,,,,,
,IDI1,,,,,,
,IFI27,,,,,,
,IMMP1L,,,,,,
,IMMP2L,,,,,,
,IMMT,,,,,,
,ISCA1,,,,,,
,ISCA2,,,,,,
,ISCU,,,,,,
,ISOC2,,,,,,
,IVD,,,,,,
,KARS,,,,,,
,KIAA0100,,,,,,
,KIAA0141,,,,,,
,KIAA0391,,,,,,
,KIF1B,,,,,,
,KMO,,,,,,
,KRT5,,,,,,
,L2HGDH,,,,,,
,LACE1,,,,,,
,LACTB,,,,,,
,LACTB2,,,,,,
,LAMC1,,,,,,
,LAP3,,,,,,
,LARS2,,,,,,
,LDHAL6B,,,,,,
,LDHB,,,,,,
,LDHD,,,,,,
,LETM1,,,,,,
,LETM2,,,,,,
,LETMD1,,,,,,
,LIAS,,,,,,
,LIPT1,,,,,,
,LIPT2,,,,,,
,LONP1,,,,,,
,LONP2,,,,,,
,LRPPRC,,,,,,
,LYPLA1,,,,,,
,LYPLAL1,,,,,,
,LYRM1,,,,,,
,LYRM2,,,,,,
,LYRM4,,,,,,
,LYRM5,,,,,,
,LYRM7,,,,,,
,LYRM9,,,,,,
,MACROD1,,,,,,
,MALSU1,,,,,,
,MAOA,,,,,,
,MAOB,,,,,,
,MARS2,,,,,,
,MAVS,,,,,,
,MCAT,,,,,,
,MCCC1,,,,,,
,MCCC2,,,,,,
,MCEE,,,,,,
,MCU,,,,,,
,MCUR1,,,,,,
,MDH1,,,,,,
,MDH2,,,,,,
,ME1,,,,,,
,ME2,,,,,,
,ME3,,,,,,
,MECR,,,,,,
,METAP1D,,,,,,
,METTL15,,,,,,
,METTL17,,,,,,
,METTL5,,,,,,
,METTL8,,,,,,
,MFF,,,,,,
,MFN1,,,,,,
,MFN2,,,,,,
,MGARP,,,,,,
,MGME1,,,,,,
,MGST1,,,,,,
,MGST3,,,,,,
,MICU1,,,,,,
,MICU2,,,,,,
,MIEF1,,,,,,
,MINOS1,,,,,,
,MIPEP,,,,,,
,MLH1,,,,,,
,MLYCD,,,,,,
,MMAB,,,,,,
,MMACHC,,,,,,
,MMADHC,,,,,,
,MOCS1,,,,,,
,MPC1,,,,,,
,MPC1L,,,,,,
,MPC2,,,,,,
,MPST,,,,,,
,MPV17,,,,,,
,MPV17L,,,,,,
,MPV17L2,,,,,,
,MRM1,,,,,,
,MRP63,,,,,,
,MRP63P6,,,,,,
,MRP63P7,,,,,,
,MRPL1,,,,,,
,MRPL10,,,,,,
,MRPL11,,,,,,
,MRPL12,,,,,,
,MRPL13,,,,,,
,MRPL14,,,,,,
,MRPL15,,,,,,
,MRPL15P1,,,,,,
,MRPL16,,,,,,
,MRPL17,,,,,,
,MRPL18,,,,,,
,MRPL19,,,,,,
,MRPL2,,,,,,
,MRPL20,,,,,,
,MRPL20P1,,,,,,
,MRPL21,,,,,,
,MRPL22,,,,,,
,MRPL22P1,,,,,,
,MRPL23,,,,,,
,MRPL23-AS1,,,,,,
,MRPL24,,,,,,
,MRPL27,,,,,,
,MRPL28,,,,,,
,MRPL2P1,,,,,,
,MRPL3,,,,,,
,MRPL30,,,,,,
,MRPL32,,,,,,
,MRPL32P1,,,,,,
,MRPL33,,,,,,
,MRPL34,,,,,,
,MRPL35,,,,,,
,MRPL35P1,,,,,,
,MRPL35P2,,,,,,
,MRPL35P3,,,,,,
,MRPL35P4,,,,,,
,MRPL36,,,,,,
,MRPL37,,,,,,
,MRPL37P1,,,,,,
,MRPL38,,,,,,
,MRPL39,,,,,,
